cve,vendorProject,product,shortDescription,rating,vulnerabilityName
CVE-2024-4535,Unknown,KKProgressbar2 Free ,"The KKProgressbar2 Free  WordPress plugin through 1.1.4.2 does not have CSRF checks in some places, which could allow attackers to make logged in users perform unwanted actions via CSRF attacks",cold,
CVE-2024-11821,langgenius,langgenius/dify,"A privilege escalation vulnerability exists in langgenius/dify version 0.9.1. This vulnerability allows a normal user to modify Orchestrate instructions for a chatbot created by an admin user. The issue arises because the application does not properly enforce access controls on the endpoint /console/api/apps/{chatbot-id}/model-config, allowing unauthorized users to alter chatbot configurations.",hot,
CVE-2024-2531,MAGESH-K21,Online-College-Event-Hall-Reservation-System,A vulnerability classified as critical has been found in MAGESH-K21 Online-College-Event-Hall-Reservation-System 1.0. Affected is an unknown function of the file /admin/update-rooms.php. The manipulation leads to unrestricted upload. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-256968. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,cold,
CVE-2024-9873,peepso,"Community by PeepSo  Social Network, Membership, Registration, User Profiles, Premium  Mobile App","The Community by PeepSo  Social Network, Membership, Registration, User Profiles, Premium  Mobile App plugin for WordPress is vulnerable to Stored Cross-Site Scripting via URLs in posts, comments, and profiles when Markdown support is enabled in all versions up to, and including, 6.4.6.1 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with Subscriber-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",cold,
CVE-2024-9073,wpopal,GutenGeek Free Gutenberg Blocks for WordPress,"The GutenGeek Free Gutenberg Blocks for WordPress plugin for WordPress is vulnerable to Stored Cross-Site Scripting via SVG File uploads in all versions up to, and including, 1.1.3 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers, with Author-level access and above, to inject arbitrary web scripts in pages that will execute whenever a user accesses the SVG file.",cold,
CVE-2024-37256,Themeum,Tutor LMS,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Themeum Tutor LMS.This issue affects Tutor LMS: from n/a through 2.7.1.,cold,
CVE-2024-4693,; Red Hat,; Red Hat Enterprise Linux 6; Red Hat Enterprise Linux 7; Red Hat Enterprise Linux 8; Red Hat Enterprise Linux 8 Advanced Virtualization; Red Hat Enterprise Linux 9,A flaw was found in the QEMU Virtio PCI Bindings (hw/virtio/virtio-pci.c). An improper release and use of the irqfd for vector 0 during the boot process leads to a guest triggerable crash via vhost_net_stop(). This flaw allows a malicious guest to crash the QEMU process on the host.,hot,
CVE-2024-7185,TOTOLINK,A3600R,A vulnerability was found in TOTOLINK A3600R 4.1.2cu.5182_B20201102 and classified as critical. Affected by this issue is the function setWebWlanIdx of the file /cgi-bin/cstecgi.cgi. The manipulation of the argument webWlanIdx leads to buffer overflow. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. VDB-272606 is the identifier assigned to this vulnerability. NOTE: The vendor was contacted early about this disclosure but did not respond in any way.,cold,
CVE-2024-51627,Kaedinger,Audio Comparison Lite,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerability in Kaedinger Audio Comparison Lite audio-comparison-lite allows Stored XSS.This issue affects Audio Comparison Lite: from n/a through 3.4.,cold,
CVE-2024-45175,,,"An issue was discovered in za-internet C-MOR Video Surveillance 5.2401. Sensitive information is stored in cleartext. It was found out that sensitive information, for example login credentials of cameras, is stored in cleartext. Thus, an attacker with filesystem access, for example exploiting a path traversal attack, has access to the login data of all configured cameras, or the configured FTP server.",cold,
CVE-2024-42290,Linux,Linux,"In the Linux kernel, the following vulnerability has been resolved: irqchip/imx-irqsteer: Handle runtime power management correctly The power domain is automatically activated from clk_prepare(). However, on certain platforms like i.MX8QM and i.MX8QXP, the power-on handling invokes sleeping functions, which triggers the 'scheduling while atomic' bug in the context switch path during device probing:  BUG: scheduling while atomic: kworker/u13:1/48/0x00000002  Call trace:   __schedule_bug+0x54/0x6c   __schedule+0x7f0/0xa94   schedule+0x5c/0xc4   schedule_preempt_disabled+0x24/0x40   __mutex_lock.constprop.0+0x2c0/0x540   __mutex_lock_slowpath+0x14/0x20   mutex_lock+0x48/0x54   clk_prepare_lock+0x44/0xa0   clk_prepare+0x20/0x44   imx_irqsteer_resume+0x28/0xe0   pm_generic_runtime_resume+0x2c/0x44   __genpd_runtime_resume+0x30/0x80   genpd_runtime_resume+0xc8/0x2c0   __rpm_callback+0x48/0x1d8   rpm_callback+0x6c/0x78   rpm_resume+0x490/0x6b4   __pm_runtime_resume+0x50/0x94   irq_chip_pm_get+0x2c/0xa0   __irq_do_set_handler+0x178/0x24c   irq_set_chained_handler_and_data+0x60/0xa4   mxc_gpio_probe+0x160/0x4b0 Cure this by implementing the irq_bus_lock/sync_unlock() interrupt chip callbacks and handle power management in them as they are invoked from non-atomic context. [ tglx: Rewrote change log, added Fixes tag ]",cold,
CVE-2024-1720,wpeverest,"User Registration  Custom Registration Form, Login Form, and User Profile WordPress Plugin","The User Registration  Custom Registration Form, Login Form, and User Profile WordPress Plugin plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the 'Display Name' parameter in all versions up to, and including, 3.1.4 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page. This vulnerability requires social engineering to successfully exploit, and the impact would be very limited due to the attacker requiring a user to login as the user with the injected payload for execution.",cold,
CVE-2024-33581,Lenovo,PC Manager AI intelligent scenario,A DLL hijack vulnerability was reported in Lenovo PC Manager AI intelligent scenario that could allow a local attacker to execute code with elevated privileges.,hot,
CVE-2024-7631,; Red Hat,; Red Hat OpenShift Container Platform 3.11; Red Hat OpenShift Container Platform 4,"A flaw was found in the OpenShift Console, an endpoint for plugins to serve resources in multiple languages: /locales/resources.json. This endpoint's lng and ns parameters are used to construct a filepath in pkg/plugins/handlers unsafely.go#L112 Because of this unsafe filepath construction, an authenticated user can manipulate the path to retrieve any JSON files on the console's pod by using sequences of ../ and valid directory paths.",cold,
CVE-2024-13852,backie,Option Editor,"The Option Editor plugin for WordPress is vulnerable to Cross-Site Request Forgery in version 1.0. This is due to missing nonce validation on the plugin_page() function. This makes it possible for unauthenticated attackers to update arbitrary options on the WordPress site via a forged request, granted they can trick a site administrator into performing an action such as clicking on a link. This can be leveraged to update the default role for registration to administrator and enable user registration for attackers to gain administrative user access to a vulnerable site.",cold,
CVE-2024-3213,Relevanssi; msaari,Relevanssi  A Better Search; Relevanssi  A Better Search (Pro),"The Relevanssi  A Better Search plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the relevanssi_update_counts() function in all versions up to, and including, 4.22.1. This makes it possible for unauthenticated attackers to execute expensive queries on the application that could lead into DOS.",cold,
CVE-2024-8131,D-Link,DNR-202L; DNR-322L; DNR-326; DNS-1100-4; DNS-120; DNS-1200-05; DNS-1550-04; DNS-315L; DNS-320; DNS-320L; DNS-320LW; DNS-321; DNS-323; DNS-325; DNS-326; DNS-327L; DNS-340L; DNS-343; DNS-345; DNS-726-4,"A vulnerability was found in D-Link DNS-120, DNR-202L, DNS-315L, DNS-320, DNS-320L, DNS-320LW, DNS-321, DNR-322L, DNS-323, DNS-325, DNS-326, DNS-327L, DNR-326, DNS-340L, DNS-343, DNS-345, DNS-726-4, DNS-1100-4, DNS-1200-05 and DNS-1550-04 up to 20240814 and classified as critical. Affected by this issue is the function module_enable_disable of the file /cgi-bin/apkg_mgr.cgi of the component HTTP POST Request Handler. The manipulation of the argument f_module_name leads to command injection. The attack may be launched remotely. The exploit has been disclosed to the public and may be used. NOTE: This vulnerability only affects products that are no longer supported by the maintainer. NOTE: Vendor was contacted early and confirmed that the product is end-of-life. It should be retired and replaced.",cold,
CVE-2024-50152,Linux,Linux,"In the Linux kernel, the following vulnerability has been resolved: smb: client: fix possible double free in smb2_set_ea() Clang static checker(scan-build) warning? fs/smb/client/smb2ops.c:1304:2: Attempt to free released memory.  1304 |         kfree(ea);       |         ^~~~~~~~~ There is a double free in such case: 'ea is initialized to NULL' -> 'first successful memory allocation for ea' -> 'something failed, goto sea_exit' -> 'first memory release for ea' -> 'goto replay_again' -> 'second goto sea_exit before allocate memory for ea' -> 'second memory release for ea resulted in double free'. Re-initialie 'ea' to NULL near to the replay_again label, it can fix this double free problem.",cold,
